timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-07-02,119.6900,121.4200,119.2600,119.7000,119.7000,3745663,0.0000,1.0000
2020-07-01,120.2700,121.2250,118.3700,118.5400,118.5400,4657168,0.0000,1.0000
2020-06-30,119.1900,121.2000,119.0000,120.7700,120.7700,3916381,0.0000,1.0000
2020-06-29,117.9800,119.7800,117.3700,119.7500,119.7500,4157205,0.0000,1.0000
2020-06-26,118.2600,118.9900,116.2600,117.1900,117.1900,10749166,0.0000,1.0000
2020-06-25,116.7600,119.2100,116.1000,119.0300,119.0300,6128720,0.0000,1.0000
2020-06-24,118.3200,118.3200,115.8800,116.4200,116.4200,6747421,0.0000,1.0000
2020-06-23,122.0100,122.9000,119.2300,119.4100,119.4100,6628278,0.0000,1.0000
2020-06-22,122.1200,122.5000,120.5300,121.0700,121.0700,4762601,0.0000,1.0000
2020-06-19,126.1700,126.8200,122.2500,122.4700,122.4700,8098994,0.0000,1.0000
2020-06-18,123.0000,124.4000,122.3300,124.1600,124.1600,2860286,0.0000,1.0000
2020-06-17,125.8300,126.2500,123.4000,124.1500,124.1500,3153862,0.0000,1.0000
2020-06-16,125.0000,127.5000,123.1600,125.1500,125.1500,5605791,0.0000,1.0000
2020-06-15,119.1900,122.3670,118.2900,121.6500,121.6500,5148756,0.0000,1.0000
2020-06-12,121.2500,123.1200,119.2800,121.9100,121.9100,6218003,0.0000,1.0000
2020-06-11,126.0300,126.1000,117.8352,118.0100,118.0100,11753674,0.0000,1.0000
2020-06-10,132.1500,132.2300,129.8000,129.8700,129.8700,4725055,0.0000,1.0000
2020-06-09,133.5200,133.6000,131.0200,131.8700,131.8700,5391520,0.0000,1.0000
2020-06-08,132.2700,135.8800,132.2700,135.7500,135.7500,5368387,0.0000,1.0000
2020-06-05,133.8850,134.2300,131.7500,132.0600,132.0600,5892718,0.0000,1.0000
2020-06-04,127.7800,128.9500,127.0200,128.8900,128.8900,3864131,0.0000,1.0000
2020-06-03,127.1500,129.5950,127.0000,129.0500,129.0500,3913804,0.0000,1.0000
2020-06-02,125.6700,126.0000,124.6600,126.0000,126.0000,2976908,0.0000,1.0000
2020-06-01,124.6400,125.7500,124.0300,124.8900,124.8900,2867306,0.0000,1.0000
2020-05-29,123.6700,125.1300,122.2400,124.9000,124.9000,7929905,0.0000,1.0000
2020-05-28,126.8700,126.9700,124.2200,124.5300,124.5300,3915224,0.0000,1.0000
2020-05-27,123.9400,125.8300,123.4700,125.5400,125.5400,5725163,0.0000,1.0000
2020-05-26,121.3000,122.6200,121.0101,121.7600,121.7600,5467436,0.0000,1.0000
2020-05-22,119.3700,119.4650,117.5900,118.3900,118.3900,4179906,0.0000,1.0000
2020-05-21,120.9900,121.7200,118.9700,119.1200,119.1200,4018329,0.0000,1.0000
2020-05-20,120.9300,122.4659,120.6000,121.3800,121.3800,3840563,0.0000,1.0000
2020-05-19,121.1900,122.1700,120.1400,120.2900,120.2900,3239964,0.0000,1.0000
2020-05-18,119.8800,122.3600,119.7500,121.5600,121.5600,4205425,0.0000,1.0000
2020-05-15,115.9300,117.3900,115.2500,116.9800,116.9800,4785773,0.0000,1.0000
2020-05-14,114.5700,117.0900,111.8100,116.9500,116.9500,5255607,0.0000,1.0000
2020-05-13,119.9500,119.9900,114.8500,115.7300,115.7300,5874676,0.0000,1.0000
2020-05-12,123.0100,124.3200,120.2600,120.2600,120.2600,4779635,0.0000,1.0000
2020-05-11,121.8100,123.4500,120.6700,122.5900,122.5900,3533382,0.0000,1.0000
2020-05-08,122.6700,123.2300,121.0600,122.9900,122.9900,5002450,0.0000,1.0000
2020-05-07,122.9800,123.2600,120.8500,121.2300,121.2300,4412047,1.6300,1.0000
2020-05-06,123.2400,124.0500,122.4100,123.1700,121.5359,3861081,0.0000,1.0000
2020-05-05,123.3900,124.3200,122.4700,122.5800,120.9537,3897761,0.0000,1.0000
2020-05-04,120.8200,121.9700,119.3910,121.6800,120.0657,4016551,0.0000,1.0000
2020-05-01,123.1900,123.4700,121.3900,121.8700,120.2531,4923913,0.0000,1.0000
2020-04-30,126.5200,127.2700,125.2200,125.5600,123.8942,6630032,0.0000,1.0000
2020-04-29,128.8800,129.3100,127.5300,128.6900,126.9827,5252734,0.0000,1.0000
2020-04-28,128.0300,128.2000,125.3800,126.2700,124.5948,4775867,0.0000,1.0000
